vintage,bad_rate,n
2021Q1,0.0946372239747634,317
2021Q2,0.0858085808580858,303
2021Q3,0.09621993127147767,291
2021Q4,0.06666666666666667,270
2022Q1,0.08303249097472924,277
2022Q2,0.10130718954248366,306
2022Q3,0.11888111888111888,286
2022Q4,0.08303249097472924,277
2023Q1,0.10830324909747292,277
2023Q2,0.1494661921708185,281
2023Q3,0.11764705882352941,306
2023Q4,0.11904761904761904,252
2024Q1,0.12773722627737227,274
2024Q2,0.12830188679245283,265
2024Q3,0.13353115727002968,337
2024Q4,0.1709090909090909,275
2025Q1,0.14335664335664336,286
2025Q2,0.1180327868852459,305
2025Q3,0.11688311688311688,308
2025Q4,0.15862068965517243,290
